date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:50	202/202	---MCZ	200	added ('OK')	text/plain	date:Tue,%2024%20Oct%202023%2006:59:50%20GMT	https://guruphotography.mypixieset.com/robots.txt		(from )
12:29:51	150623/150623	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2006:59:50%20GMT	https://guruphotography.mypixieset.com/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/index.html	(from )
12:29:53	808161/808161	---MCZ	200	added ('OK')	text/css	etag:W/%2264ccb9be46b7a3bb8cec44e7813b2664%22	https://assets-pw.pixieset.com/assets/client/css/themes/theme_4.v-d02266fd.css	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/client/css/themes/theme_4.v-d02266fd.css	(from https://guruphotography.mypixieset.com/)
12:29:53	683815/683815	---M--	200	added ('OK')	image/jpeg	etag:%221e939f87c162a18445f4674c82344995%22	https://images-pw.pixieset.com/elementfield/784108943/4Q5A1200-3d77dafc-1500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/784108943/4Q5A1200-3d77dafc-1500.jpg	(from https://guruphotography.mypixieset.com/)
12:29:54	70725/70725	---MCZ	200	added ('OK')	text/css	etag:W/%2274286846da0ce447a65073b4a0d01e70%22	https://assets-pw.pixieset.com/assets/flex-client/static/css/flex-main.v-b60c8cca.css	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/flex-client/static/css/flex-main.v-b60c8cca.css	(from https://guruphotography.mypixieset.com/)
12:29:55	5945/5945	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ee6cdf5ff94c1f00c94a4f5bc932a11%22	https://assets-pw.pixieset.com/assets/flex-client/flex-main-client.v-adf45c3c.min.js	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/flex-client/flex-main-client.v-adf45c3c.min.js	(from https://guruphotography.mypixieset.com/)
12:29:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2006:59:55%20GMT	http://images-pw.pixieset.com/elementfield/784108943/4Q5A1200-0dd83c71-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/784108943/4Q5A1200-0dd83c71-2500.4.delayed	(from https://guruphotography.mypixieset.com/)
12:29:57	1522421/1522421	---M--	200	added ('OK')	image/jpeg	etag:%221319f8a7a50d4765fcd88ca8ad9a7137%22	https://images-pw.pixieset.com/elementfield/784108943/4Q5A1200-0dd83c71-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/784108943/4Q5A1200-0dd83c71-2500.jpg	(from https://guruphotography.mypixieset.com/)
12:29:57	129721/129721	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2006:59:57%20GMT	https://guruphotography.mypixieset.com/about/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/about/index.html	(from https://guruphotography.mypixieset.com/)
12:29:57	112652/112652	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2006:59:57%20GMT	https://guruphotography.mypixieset.com/wedding/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/wedding/index.html	(from https://guruphotography.mypixieset.com/)
12:29:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2006:59:58%20GMT	http://images-pw.pixieset.com/elementfield/422547311/IMG_0067_1-cf07677c.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/422547311/IMG_0067_1-cf07677c.6.delayed	(from https://guruphotography.mypixieset.com/)
12:29:59	118970/118970	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2006:59:58%20GMT	https://guruphotography.mypixieset.com/portfolio/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/portfolio/index.html	(from https://guruphotography.mypixieset.com/)
12:29:59	113892/113892	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2006:59:59%20GMT	https://guruphotography.mypixieset.com/fashion/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/fashion/index.html	(from https://guruphotography.mypixieset.com/)
12:29:59	127837/127837	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2006:59:59%20GMT	https://guruphotography.mypixieset.com/engagement/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/engagement/index.html	(from https://guruphotography.mypixieset.com/)
12:30:02	286817/286817	---M--	200	added ('OK')	image/jpeg	etag:%22eb871cc26a5a8132531b395bcf30f11c%22	https://images-pw.pixieset.com/elementfield/422547311/IMG_0067_1-cf07677c.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/422547311/IMG_0067_1-cf07677c.jpg	(from https://guruphotography.mypixieset.com/)
12:30:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:02%20GMT	http://images-pw.pixieset.com/elementfield/012547311/1619002768768-bb44fcd4.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/012547311/1619002768768-bb44fcd4.8.delayed	(from https://guruphotography.mypixieset.com/)
12:30:04	124598/124598	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2007:00:00%20GMT	https://guruphotography.mypixieset.com/investment/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/investment/index.html	(from https://guruphotography.mypixieset.com/)
12:30:04	138415/138415	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2007:00:00%20GMT	https://guruphotography.mypixieset.com/casual/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/casual/index.html	(from https://guruphotography.mypixieset.com/)
12:30:04	109872/109872	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2007:00:00%20GMT	https://guruphotography.mypixieset.com/clients/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/clients/index.html	(from https://guruphotography.mypixieset.com/)
12:30:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:05%20GMT	http://images-pw.pixieset.com/elementfield/712547311/1631268688848-a92ce9c3.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/712547311/1631268688848-a92ce9c3.a.delayed	(from https://guruphotography.mypixieset.com/)
12:30:07	119423/119423	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2007:00:06%20GMT	https://guruphotography.mypixieset.com/contact/	/storage/emulated/0/HTTrack/Websites/staging/guruphotography.mypixieset.com/contact/index.html	(from https://guruphotography.mypixieset.com/)
12:30:07	720557/720557	---M--	200	added ('OK')	image/jpeg	etag:%226d9b83c45ab82220996e080c6c1c6a68%22	https://images-pw.pixieset.com/elementfield/012547311/1619002768768-bb44fcd4.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/012547311/1619002768768-bb44fcd4.jpg	(from https://guruphotography.mypixieset.com/)
12:30:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:08%20GMT	http://images-pw.pixieset.com/elementfield/502208943/IMG_9547-782b3c29-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/502208943/IMG_9547-782b3c29-2500.c.delayed	(from https://guruphotography.mypixieset.com/)
12:30:16	278742/278742	---M--	200	added ('OK')	image/jpeg	etag:%22d5e4ce7833cc3ebb91d6013458001724%22	https://images-pw.pixieset.com/elementfield/712547311/1631268688848-a92ce9c3.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/712547311/1631268688848-a92ce9c3.jpg	(from https://guruphotography.mypixieset.com/)
12:30:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:13%20GMT	http://images-pw.pixieset.com/elementfield/885108943/JTP_5917-ff03b208-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/885108943/JTP_5917-ff03b208-2500.e.delayed	(from https://guruphotography.mypixieset.com/)
